date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:08	38000/38000	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Oct%202020%2010:43:07%20GMT	https://5f8b0d37172f1.site123.me/	/home/sandeep/websites/ew/5f8b0d37172f1.site123.me/index.html	(from )
16:13:08	125/125	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Oct%202020%2010:43:06%20GMT	https://5f8b0d37172f1.site123.me/robots.txt		(from )
16:13:14	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2019%20Oct%202020%2005:10:16%20GMT	https://cdn-cms.f-static.net/	/home/sandeep/websites/ew/cdn-cms.f-static.net/index.html	(from https://5f8b0d37172f1.site123.me/)
16:13:19	77160/77160	---M--	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202019%2012:00:35%20GMT	http://cdn-cms-s.f-static.net/files/font-awesome-4.7/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/sandeep/websites/ew/cdn-cms-s.f-static.net/files/font-awesome-4.7/fonts/fontawesome-webfont3e6e.html	(from https://5f8b0d37172f1.site123.me/)
16:13:23	5049/5049	---M-Z	200	added ('OK')	image/png	date:Sun,%2028%20Jun%202020%2009:50:46%20GMT	http://cdn-cms-s.f-static.net/manager/site123_website/files/logos/brand_files_2020/Icons/Png/Icon_blue.png?v=r6915	/home/sandeep/websites/ew/cdn-cms-s.f-static.net/manager/site123_website/files/logos/brand_files_2020/Icons/Png/Icon_blue8ab6.png	(from https://5f8b0d37172f1.site123.me/)
16:13:25	682/682	---M-Z	200	added ('OK')	application/json	date:Mon,%2019%20Oct%202020%2006:04:54%20GMT	http://cdn-cms-s.f-static.net/versions/2/css/manifest.json?w=&orderScreen=&websiteID=4381915&onlyContent=&tranW=&v=r6915_21766929&wd=5f8b0d37172f1.site123.me	/home/sandeep/websites/ew/cdn-cms-s.f-static.net/versions/2/css/manifestd31f.json	(from https://5f8b0d37172f1.site123.me/)
16:13:27	3414/3414	---M-Z	200	added ('OK')	image/png	date:Mon,%2019%20Oct%202020%2006:14:04%20GMT	http://cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImage.png?width=152&height=152&resizeType=pwaIcon&w=&orderScreen=&websiteID=4381915&tranW=&v=r6915_21766929	/home/sandeep/websites/ew/cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImagef14c.png	(from https://5f8b0d37172f1.site123.me/)
16:13:31	10468/10468	---M-Z	200	added ('OK')	image/png	date:Mon,%2019%20Oct%202020%2006:14:05%20GMT	http://cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImage.png?width=180&height=180&resizeType=pwaIcon&w=&orderScreen=&websiteID=4381915&tranW=&v=r6915_21766929	/home/sandeep/websites/ew/cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImage6675.png	(from https://5f8b0d37172f1.site123.me/)
16:13:33	473498/473498	---M--	200	added ('OK')	image/jpeg	etag:%22dfe6b23312214e11a44028d4a8d61d6b%22	https://cdn-cms.f-static.net/ready_uploads/media/3116170/2000_5e19a8daecac9.jpg	/home/sandeep/websites/ew/cdn-cms.f-static.net/ready_uploads/media/3116170/2000_5e19a8daecac9.jpg	(from https://5f8b0d37172f1.site123.me/)
16:13:33	10468/10468	---M-Z	200	added ('OK')	image/png	date:Mon,%2019%20Oct%202020%2006:14:06%20GMT	http://cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImage.png?width=167&height=167&resizeType=pwaIcon&w=&orderScreen=&websiteID=4381915&tranW=&v=r6915_21766929	/home/sandeep/websites/ew/cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImageabf1.png	(from https://5f8b0d37172f1.site123.me/)
